City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
565,Brokopondo,SR,4.75,-55.1667,75.33,89,52,6.08,broken clouds,2022-07-21 05:14:08
566,Qorveh,IR,35.1664,47.8045,82.87,14,0,3.74,clear sky,2022-07-21 05:14:09
567,San Benito,US,36.6166,-121.0844,66.87,36,0,4.38,clear sky,2022-07-21 05:14:09
568,Pochutla,MX,15.7432,-96.4661,79.83,91,69,3.47,broken clouds,2022-07-21 05:14:09
569,Geraldton,AU,-28.7667,114.6,64.81,82,100,24.16,overcast clouds,2022-07-21 05:14:10
570,Khvalynsk,RU,52.4906,48.1058,67.14,65,83,6.62,broken clouds,2022-07-21 05:14:10
571,Nacala,MZ,-14.5428,40.6728,69.22,79,41,4.76,light rain,2022-07-21 05:14:10
572,Padang,ID,-0.9492,100.3543,86.05,68,34,6.04,scattered clouds,2022-07-21 05:14:11
573,Sur,OM,22.5667,59.5289,88.21,66,75,8.32,broken clouds,2022-07-21 05:14:11
574,Deputatskiy,RU,69.3,139.9,53.19,54,67,18.39,broken clouds,2022-07-21 05:14:11
575,Barguzin,RU,53.6167,109.6167,73.08,50,87,1.99,overcast clouds,2022-07-21 05:14:12
576,Saint-Louis,SN,16.3333,-15.0,78.78,74,88,12.48,overcast clouds,2022-07-21 05:14:12
577,Fare,PF,-16.7,-151.0167,76.75,73,8,11.12,light rain,2022-07-21 05:14:12
578,Ostrovnoy,RU,68.0531,39.5131,53.44,80,21,4.16,few clouds,2022-07-21 05:14:13
579,Tinyahuarco,PE,-10.75,-76.3,29.82,89,5,2.44,clear sky,2022-07-21 05:14:13
580,Vanimo,PG,-2.6741,141.3028,85.69,68,51,12.68,broken clouds,2022-07-21 05:14:14
581,Matadi,CD,-5.8167,13.45,66.6,98,25,2.39,scattered clouds,2022-07-21 05:14:14
582,Nantucket,US,41.2835,-70.0995,75.99,97,0,6.91,mist,2022-07-21 05:12:00
583,Koboko,UG,3.4136,30.9599,63.86,89,65,1.5,broken clouds,2022-07-21 05:14:14
584,Sistranda,NO,63.7256,8.834,53.56,94,100,12.57,overcast clouds,2022-07-21 05:14:15
585,Camacha,PT,33.0833,-16.3333,67.42,73,75,12.66,broken clouds,2022-07-21 05:14:15
586,Bolshoye Selo,RU,57.7177,38.9334,58.1,93,95,8.32,overcast clouds,2022-07-21 05:14:15
587,Pacifica,US,37.6138,-122.4869,62.73,94,75,13.8,mist,2022-07-21 05:11:04
588,Port Hedland,AU,-20.3167,118.5667,86.05,21,6,5.75,clear sky,2022-07-21 05:14:16
589,Balikpapan,ID,-1.2675,116.8289,86.99,74,20,3.44,few clouds,2022-07-21 05:13:21
590,Zyryanskoye,RU,56.8306,86.6258,62.87,85,100,6.98,overcast clouds,2022-07-21 05:14:17
591,Atambua,ID,-9.1061,124.8925,81.59,61,47,1.5,scattered clouds,2022-07-21 05:14:17
592,Marsh Harbour,BS,26.5412,-77.0636,82.2,74,9,13.38,clear sky,2022-07-21 05:14:18
593,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,48,0,28.77,clear sky,2022-07-21 05:14:18
594,Indiaroba,BR,-11.5192,-37.5117,69.69,92,47,2.93,scattered clouds,2022-07-21 05:14:18
595,Douentza,ML,14.9951,-2.9517,80.28,72,81,10.27,light rain,2022-07-21 05:14:19
596,Nedjo,ET,9.5046,35.5019,57.04,99,100,1.63,overcast clouds,2022-07-21 05:14:19
597,Te Anau,NZ,-45.4167,167.7167,41.31,89,90,2.75,overcast clouds,2022-07-21 05:14:20
598,Saint-Joseph,RE,-21.3667,55.6167,70.18,72,20,16.2,few clouds,2022-07-21 05:14:20
599,Cayenne,GF,4.9333,-52.3333,78.1,1,0,0.0,clear sky,2022-07-21 05:14:20
600,Kars,TR,40.602,43.095,64.85,72,0,2.3,clear sky,2022-07-21 05:15:21
601,Hualmay,PE,-11.0964,-77.6139,60.94,86,44,9.31,scattered clouds,2022-07-21 05:15:21
602,Vredendal,ZA,-31.6683,18.5012,43.52,86,0,3.09,clear sky,2022-07-21 05:15:22
603,Celestun,MX,20.8667,-90.4,81.28,77,72,14.63,broken clouds,2022-07-21 05:15:22
604,Batticaloa,LK,7.7102,81.6924,85.87,66,100,3.13,overcast clouds,2022-07-21 05:15:23
605,Estelle,US,29.8458,-90.1067,84.2,84,0,4.61,clear sky,2022-07-21 05:11:06
606,Farafangana,MG,-22.8167,47.8333,68.5,81,74,8.9,light rain,2022-07-21 05:15:23
607,Dakar,SN,14.6937,-17.4441,79.68,81,100,11.65,overcast clouds,2022-07-21 05:15:24
608,Baykit,RU,61.67,96.37,72.07,43,34,4.54,scattered clouds,2022-07-21 05:15:24
609,Genhe,CN,50.7833,121.5167,89.55,24,0,3.98,clear sky,2022-07-21 05:15:24
610,Zhigansk,RU,66.7697,123.3711,61.05,62,100,8.7,overcast clouds,2022-07-21 05:15:25
611,Lodwar,KE,3.1191,35.5973,75.47,57,58,11.9,broken clouds,2022-07-21 05:15:25
612,Port-Cartier,CA,50.0334,-66.8654,64.08,70,13,6.78,few clouds,2022-07-21 05:15:26
613,Tabuk,PH,17.4189,121.4443,88.45,64,89,4.05,overcast clouds,2022-07-21 05:15:26
614,High Prairie,CA,55.4334,-116.4858,59.34,65,83,5.82,broken clouds,2022-07-21 05:15:26
615,Itamaraju,BR,-17.0392,-39.5311,62.08,97,15,2.3,few clouds,2022-07-21 05:15:27
616,Pangoa,PE,-12.1167,-73.0,69.04,83,68,2.33,broken clouds,2022-07-21 05:15:27
617,Torres,BR,-29.3353,-49.7269,67.82,95,1,6.85,clear sky,2022-07-21 05:15:28
618,Karratha,AU,-20.7377,116.8463,79.88,31,5,5.73,clear sky,2022-07-21 05:15:28
619,Quang Ngai,VN,15.1167,108.8,85.17,66,97,7.2,overcast clouds,2022-07-21 05:14:28
