City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Arlit,18.7369,7.3853,90.64,34,2,9.6,NE,2022-07-18 01:23:20
93,Buin,-33.7333,-70.75,53.87,54,100,2.46,CL,2022-07-18 01:26:40
94,Marystown,47.1666,-55.1483,63.86,100,100,5.99,CA,2022-07-18 01:26:40
95,Lander,42.833,-108.7307,100.11,12,0,6.91,US,2022-07-18 01:26:41
96,Lompoc,34.6391,-120.4579,88.02,75,0,17.27,US,2022-07-18 01:26:41
97,Lodwar,3.1191,35.5973,77.59,50,10,17.31,KE,2022-07-18 01:26:41
98,Guiberoua,6.2392,-6.1727,68.54,99,96,3.44,CI,2022-07-18 01:26:42
99,Barrow,71.2906,-156.7887,42.82,81,40,16.11,US,2022-07-18 01:26:42
100,Haines Junction,60.7522,-137.5108,62.55,48,100,9.22,CA,2022-07-18 01:26:43
101,Antalaha,-14.9003,50.2788,66.11,88,17,8.19,MG,2022-07-18 01:26:43
102,Port Macquarie,-31.4333,152.9167,68.9,44,0,8.9,AU,2022-07-18 01:25:53
103,Sao Filipe,14.8961,-24.4956,74.3,81,89,12.8,CV,2022-07-18 01:26:44
104,Labuhan,-6.8844,112.2051,77.67,82,65,8.25,ID,2022-07-18 01:26:44
105,Utiel,39.5667,-1.2,69.85,51,0,3.56,ES,2022-07-18 01:26:45
106,Sioux Lookout,50.1001,-91.917,78.87,61,75,5.75,CA,2022-07-18 01:26:45
107,Niksar,40.5917,36.9517,65.88,96,100,4.45,TR,2022-07-18 01:26:46
108,Chiredzi,-21.05,31.6667,55.45,81,7,0.83,ZW,2022-07-18 01:26:46
109,Sao Joao Da Barra,-21.6403,-41.0511,72.19,85,97,19.55,BR,2022-07-18 01:26:46
110,Ancud,-41.8697,-73.8203,41.23,74,5,6.71,CL,2022-07-18 01:26:47
111,Bochil,16.9833,-92.9167,73.36,97,48,3.8,MX,2022-07-18 01:26:47
112,Romans-Sur-Isere,45.0464,5.0562,70.84,68,98,2.86,FR,2022-07-18 01:26:48
113,Olga,43.7444,135.2892,70.09,67,81,4.32,RU,2022-07-18 01:26:48
114,Vila Velha,-20.3297,-40.2925,73.35,86,0,5.75,BR,2022-07-18 01:26:48
115,San Juan,-31.5375,-68.5364,50.31,25,0,3.4,AR,2022-07-18 01:26:49
116,Kattivakkam,13.2167,80.3167,82.49,87,95,13.58,IN,2022-07-18 01:25:06
117,Amapa,1.0,-52.0,71.8,99,5,3.24,BR,2022-07-18 01:26:49
118,Urumqi,43.801,87.6005,83.35,21,20,15.66,CN,2022-07-18 01:24:01
119,Esperance,-33.8667,121.9,53.87,89,100,20.13,AU,2022-07-18 01:26:51
120,Nizhnevartovsk,60.9344,76.5531,57.22,100,0,2.24,RU,2022-07-18 01:26:51
121,Seoul,37.5683,126.9778,83.59,69,40,5.75,KR,2022-07-18 01:23:49
122,Pisco,-13.7,-76.2167,61.02,82,3,11.5,PE,2022-07-18 01:26:51
123,Nanortalik,60.1432,-45.2371,41.79,91,35,9.51,GL,2022-07-18 01:26:52
124,Provideniya,64.3833,-173.3,44.71,65,40,18.01,RU,2022-07-18 01:26:52
125,Iqaluit,63.7506,-68.5145,40.73,86,75,2.3,CA,2022-07-18 01:26:52
126,Chokurdakh,70.6333,147.9167,55.81,43,18,13.18,RU,2022-07-18 01:26:53
127,Mumford,5.2618,-0.759,73.53,86,27,8.37,GH,2022-07-18 01:26:53
128,Lac-Megantic,45.5834,-70.8823,67.55,88,87,1.5,CA,2022-07-18 01:25:37
129,Lagoa,39.05,-27.9833,70.18,94,0,9.84,PT,2022-07-18 01:26:54
130,Deputatskiy,69.3,139.9,58.8,51,88,2.39,RU,2022-07-18 01:26:54
131,Praxedis Guerrero,31.3667,-106.0167,98.06,16,0,14.74,MX,2022-07-18 01:26:55
132,Luderitz,-26.6481,15.1594,61.05,59,5,8.23,NA,2022-07-18 01:25:21
133,Tulsipur,28.131,82.2973,80.96,74,69,2.53,NP,2022-07-18 01:26:55
134,Broken Hill,-31.95,141.4333,51.78,45,4,9.64,AU,2022-07-18 01:26:56
135,Espinosa,-14.9261,-42.8192,65.98,64,0,6.31,BR,2022-07-18 01:26:56
136,Bubaque,11.2833,-15.8333,80.11,85,100,12.19,GW,2022-07-18 01:23:13
137,Puerto Quijarro,-17.7833,-57.7667,66.24,61,100,3.83,BO,2022-07-18 01:26:57
138,Souillac,-20.5167,57.5167,68.38,77,40,12.66,MU,2022-07-18 01:27:57
139,Salalah,17.0151,54.0924,77.09,94,100,6.91,OM,2022-07-18 01:27:58
140,San Policarpo,12.1791,125.5072,82.47,76,100,4.97,PH,2022-07-18 01:27:58
141,Roxana,10.2753,-83.7513,81.03,95,58,1.54,CR,2022-07-18 01:27:59
142,Kerouane,9.2667,-9.0167,70.5,97,100,6.33,GN,2022-07-18 01:27:59
143,Meulaboh,4.1363,96.1285,78.06,81,9,2.75,ID,2022-07-18 01:28:00
144,Serebryansk,49.6925,83.2892,63.23,84,100,4.85,KZ,2022-07-18 01:28:00
145,Acarau,-2.8856,-40.12,78.75,78,10,15.88,BR,2022-07-18 01:28:00
146,Mount Isa,-20.7333,139.5,74.97,35,0,9.22,AU,2022-07-18 01:28:01
147,Curup,-3.4667,102.5333,74.55,77,11,2.1,ID,2022-07-18 01:28:01
148,Saint-Jean-De-Luz,43.3891,-1.6581,77.97,76,0,5.75,FR,2022-07-18 01:28:02
149,Mountain Home,43.133,-115.6912,94.48,20,75,17.27,US,2022-07-18 01:28:02
150,Tuy Hoa,13.0833,109.3,83.64,71,99,11.32,VN,2022-07-18 01:26:55
151,Nemuro,43.3236,145.575,64.49,96,99,10.29,JP,2022-07-18 01:28:03
152,Kununurra,-15.7667,128.7333,76.98,29,23,3.44,AU,2022-07-18 01:28:03
153,Srandakan,-7.9386,110.2506,79.23,79,86,9.91,ID,2022-07-18 01:28:04
